Nb,Si,Ti,Cr,Al,Hf,Mo,W,Ta,Zr,Y,B,Fe,Ga,Ge,V,Mg,Sn,Re,Vickers_hardness_(Hv)
43.000 ,15.000 ,22.000 ,12.000 ,2.000 ,2.000 ,,,,,,,,,,2.000 ,,,,922.000 
55.000 ,15.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,,,,2.000 ,,,,765.000 
55.000 ,15.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,,,,2.000 ,,,,789.000 
55.000 ,15.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,,,,2.000 ,,,,807.000 
43.000 ,15.000 ,22.000 ,12.000 ,2.000 ,2.000 ,,,,,,,,,,2.000 ,,,,897.000 
43.000 ,15.000 ,22.000 ,12.000 ,2.000 ,2.000 ,,,,,,,,,,2.000 ,,,,910.000 
43.000 ,15.000 ,22.000 ,12.000 ,2.000 ,2.000 ,,,,,,,,,,2.000 ,,,,922.000 
56.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,,,,,,,,1049.000 
56.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,,,,,,,,1089.000 
56.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,,,,,,,,1142.000 
56.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,,,,,,,,1150.000 
55.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,1.000 ,,,,,,,377.000 
54.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,2.000 ,,,,,,,404.000 
52.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,4.000 ,,,,,,,445.000 
50.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,6.000 ,,,,,,,467.000 
55.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,1.000 ,,,,,,,265.000 
54.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,2.000 ,,,,,,,287.000 
52.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,4.000 ,,,,,,,335.000 
50.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,6.000 ,,,,,,,355.000 
55.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,1.000 ,,,,,,,265.000 
54.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,2.000 ,,,,,,,287.000 
52.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,4.000 ,,,,,,,335.000 
50.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,6.000 ,,,,,,,355.000 
55.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,1.000 ,,,,,,,265.000 
54.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,2.000 ,,,,,,,287.000 
52.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,4.000 ,,,,,,,335.000 
50.000 ,16.000 ,22.000 ,2.000 ,2.000 ,2.000 ,,,,,,,6.000 ,,,,,,,355.000 
90.000 ,,,,,,,10.000 ,,,,,,,,,,,,220.000 
85.000 ,5.000 ,,,,,,10.000 ,,,,,,,,,,,,310.000 
80.000 ,10.000 ,,,,,,10.000 ,,,,,,,,,,,,345.000 
90.000 ,10.000 ,,,,,,,,,,,,,,,,,,255.000 
85.000 ,10.000 ,,,,,,5.000 ,,,,,,,,,,,,315.000 
90.000 ,,,,,,,10.000 ,,,,,,,,,,,,220.000 
85.000 ,5.000 ,,,,,,10.000 ,,,,,,,,,,,,310.000 
80.000 ,10.000 ,,,,,,10.000 ,,,,,,,,,,,,345.000 
90.000 ,10.000 ,,,,,,,,,,,,,,,,,,255.000 
85.000 ,10.000 ,,,,,,5.000 ,,,,,,,,,,,,315.000 
82.000 ,16.000 ,,,,,,,,,,,2.000 ,,,,,,,364.000 
80.000 ,16.000 ,,,,,,,,,,,4.000 ,,,,,,,394.000 
78.000 ,16.000 ,,,,,,,,,,,6.000 ,,,,,,,441.000 
82.000 ,16.000 ,,,,,,,,,,,2.000 ,,,,,,,241.000 
80.000 ,16.000 ,,,,,,,,,,,4.000 ,,,,,,,286.000 
78.000 ,16.000 ,,,,,,,,,,,6.000 ,,,,,,,319.000 
82.000 ,16.000 ,,,,,,,,,,,2.000 ,,,,,,,241.000 
80.000 ,16.000 ,,,,,,,,,,,4.000 ,,,,,,,286.000 
78.000 ,16.000 ,,,,,,,,,,,6.000 ,,,,,,,319.000 
82.000 ,16.000 ,,,,,,,,,,,2.000 ,,,,,,,241.000 
80.000 ,16.000 ,,,,,,,,,,,4.000 ,,,,,,,286.000 
78.000 ,16.000 ,,,,,,,,,,,6.000 ,,,,,,,319.000 
43.000 ,18.000 ,24.000 ,5.000 ,5.000 ,,,,,,,,,,5.000 ,,,,,840.000 
38.000 ,18.000 ,24.000 ,5.000 ,5.000 ,5.000 ,,,,,,,,,5.000 ,,,,,854.000 
43.000 ,18.000 ,24.000 ,5.000 ,5.000 ,,,,,,,,,,5.000 ,,,,,801.000 
38.000 ,18.000 ,24.000 ,5.000 ,5.000 ,5.000 ,,,,,,,,,5.000 ,,,,,779.000 
60.000 ,8.000 ,20.000 ,6.000 ,,6.000 ,,,,,,,,,,,,,,503.000 
56.000 ,8.000 ,20.000 ,10.000 ,,6.000 ,,,,,,,,,,,,,,521.000 
51.000 ,8.000 ,20.000 ,15.000 ,,6.000 ,,,,,,,,,,,,,,551.000 
60.000 ,8.000 ,20.000 ,6.000 ,,6.000 ,,,,,,,,,,,,,,410.000 
56.000 ,8.000 ,20.000 ,10.000 ,,6.000 ,,,,,,,,,,,,,,452.000 
51.000 ,8.000 ,20.000 ,15.000 ,,6.000 ,,,,,,,,,,,,,,466.000 
60.000 ,8.000 ,20.000 ,6.000 ,,6.000 ,,,,,,,,,,,,,,410.000 
56.000 ,8.000 ,20.000 ,10.000 ,,6.000 ,,,,,,,,,,,,,,452.000 
51.000 ,8.000 ,20.000 ,15.000 ,,6.000 ,,,,,,,,,,,,,,466.000 
60.000 ,8.000 ,20.000 ,6.000 ,,6.000 ,,,,,,,,,,,,,,410.000 
56.000 ,8.000 ,20.000 ,10.000 ,,6.000 ,,,,,,,,,,,,,,452.000 
51.000 ,8.000 ,20.000 ,15.000 ,,6.000 ,,,,,,,,,,,,,,466.000 
60.000 ,8.000 ,20.000 ,6.000 ,,6.000 ,,,,,,,,,,,,,,410.000 
56.000 ,8.000 ,20.000 ,10.000 ,,6.000 ,,,,,,,,,,,,,,452.000 
51.000 ,8.000 ,20.000 ,15.000 ,,6.000 ,,,,,,,,,,,,,,466.000 
60.000 ,8.000 ,20.000 ,6.000 ,,6.000 ,,,,,,,,,,,,,,410.000 
56.000 ,8.000 ,20.000 ,10.000 ,,6.000 ,,,,,,,,,,,,,,452.000 
51.000 ,8.000 ,20.000 ,15.000 ,,6.000 ,,,,,,,,,,,,,,466.000 
60.000 ,8.000 ,20.000 ,6.000 ,,6.000 ,,,,,,,,,,,,,,410.000 
56.000 ,8.000 ,20.000 ,10.000 ,,6.000 ,,,,,,,,,,,,,,452.000 
51.000 ,8.000 ,20.000 ,15.000 ,,6.000 ,,,,,,,,,,,,,,466.000 
